file,status,detail
docs\xhs-watch-party-campaign\day-17\02-info.png,skip,no_logo
docs\xhs-watch-party-campaign\day-17\03-merchant.png,replaced,"box=326,1391,430,128 text=火星探索日志·火箭观礼 color=#9A3412"
docs\xhs-watch-party-campaign\day-18\01-cover.png,replaced,"box=105,0,325,107 text=火星探索日志 color=#334155"
docs\xhs-watch-party-campaign\day-18\02-info.png,skip,no_logo
docs\xhs-watch-party-campaign\day-18\03-merchant.png,replaced,"box=290,1434,430,102 text=火星探索日志·火箭观礼 color=#334155"
docs\xhs-watch-party-campaign\day-19\01-cover.png,replaced,"box=417,1347,430,153 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-19\02-info.png,skip,no_logo
docs\xhs-watch-party-campaign\day-19\03-merchant.png,replaced,"box=288,1383,430,153 text=一火星探索日志·火箭观礼· color=#F5E6C8"
docs\xhs-watch-party-campaign\day-20\01-cover.png,replaced,"box=233,40,430,128 text=火星探索日志·火箭观礼 color=#E7C56B"
docs\xhs-watch-party-campaign\day-20\02-info.png,skip,no_logo
docs\xhs-watch-party-campaign\day-20\03-merchant.png,replaced,"box=178,1378,302,108 text=火星探索日志 color=#E7C56B"
docs\xhs-watch-party-campaign\day-21\01-cover.png,replaced,"box=773,124,245,85 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-21\02-info.png,replaced,"box=387,1428,360,85 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-21\03-merchant.png,replaced,"box=144,30,430,123 text=火星探索日志·火箭观礼 color=#F5E6C8"
docs\xhs-watch-party-campaign\day-22\01-cover.png,replaced,"box=73,0,403,96 text=火星探索日志·火箭观礼 color=#0F766E"
docs\xhs-watch-party-campaign\day-22\02-info.png,replaced,"box=323,1377,430,128 text=火星探索日志·火箭观礼 color=#0F766E"
docs\xhs-watch-party-campaign\day-22\03-merchant.png,replaced,"box=166,22,430,122 text=火星探索日志·火箭观礼 color=#0F766E"
docs\xhs-watch-party-campaign\day-23\01-cover.png,replaced,"box=291,6,430,153 text=火星探索日志·火箭观礼 color=#713F12"
docs\xhs-watch-party-campaign\day-23\02-info.png,skip,no_logo
